session_id,miti_dimension,run_id,dataset,model,condition,replicate,prompt_variant,score
MI-MAINEXP-10324328,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10324328,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10324328,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10324328,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,1
MI-MAINEXP-10435735,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10435735,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10435735,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10435735,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10444833,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10444833,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10444833,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10444833,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10447715,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10447715,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10447715,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10447715,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10482787,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10482787,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10482787,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10482787,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-1049215,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-1049215,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-1049215,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-1049215,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10493164,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10493164,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10493164,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10493164,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10502045,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10502045,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10502045,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10502045,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10558473,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10558473,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10558473,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10558473,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10585753,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10585753,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10585753,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10585753,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10639097,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10639097,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10639097,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10639097,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10639762,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10639762,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10639762,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10639762,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10723367,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10723367,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10723367,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10723367,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10724474,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10724474,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10724474,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10724474,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10759219,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10759219,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10759219,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10759219,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10864599,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10864599,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10864599,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10864599,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10895598,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10895598,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10895598,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10895598,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10896618,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10896618,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10896618,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10896618,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10937565,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10937565,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10937565,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10937565,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10947517,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10947517,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10947517,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10947517,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10970181,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10970181,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10970181,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10970181,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10976243,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10976243,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10976243,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10976243,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10986543,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10986543,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10986543,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10986543,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11035990,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11035990,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11035990,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11035990,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11066912,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11066912,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11066912,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11066912,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11131873,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11131873,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11131873,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11131873,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11143467,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11143467,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11143467,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11143467,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11149407,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11149407,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11149407,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11149407,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11182037,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11182037,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11182037,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11182037,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11200117,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11200117,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11200117,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11200117,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11218425,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11218425,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11218425,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11218425,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11229124,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-11229124,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-11229124,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-11229124,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-11313941,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11313941,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11313941,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11313941,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11333184,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-11333184,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11333184,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-11333184,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11371884,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-11371884,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-11371884,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-11371884,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-1149265,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-1149265,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-1149265,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-1149265,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-11536700,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
